"dataset","dp_names","dps_unique","dps_total","dps_abstract_factory","dps_adapter","dps_builder","dps_facade","dps_factory_method","dps_observer","dps_singleton","dps_decorator","dps_memento","dps_prototype","dps_proxy","dps_visitor"
"all","[Adapter] [Builder] [Prototype] [Factory Method] [Memento] [Decorator] [Proxy] [Abstract Factory] [Visitor] [Observer] [Facade] [Singleton]","12","1102","89","94","97","99","96","89","91","89","86","85","96","91"
"dpdf-cruisecontrol","[Builder] [Decorator] [Singleton]","3","10","0","0","8","0","0","0","1","1","0","0","0","0"
"dpdf-orionserver","[Factory Method] [Decorator]","2","4","0","0","0","0","3","0","0","1","0","0","0","0"
"dpdf-android-rtmp","[Prototype]","1","1","0","0","0","0","0","0","0","0","0","1","0","0"
"dpdf-vogella","[Observer] [Singleton]","2","4","0","0","0","0","0","3","1","0","0","0","0","0"
"dpdf-thredds","[Prototype]","1","1","0","0","0","0","0","0","0","0","0","1","0","0"
"dpdf-intellij-community","[Facade] [Singleton]","2","12","0","0","0","7","0","0","5","0","0","0","0","0"
"dpdf-faban","[Factory Method] [Facade]","2","3","0","0","0","1","2","0","0","0","0","0","0","0"
"dpdf-drools","[Memento]","1","1","0","0","0","0","0","0","0","0","1","0","0","0"
"dpdf-platform","[Proxy] [Observer]","2","41","0","0","0","0","0","34","0","0","0","0","7","0"
"dpdf-hypergraphdb","[Singleton]","1","1","0","0","0","0","0","0","1","0","0","0","0","0"
"dpdf-teiid-designer","[Adapter] [Builder] [Factory Method] [Decorator]","4","5","0","2","1","0","1","0","0","1","0","0","0","0"
"dpdf-dawn-ui","[Memento]","1","1","0","0","0","0","0","0","0","0","1","0","0","0"
"dpdf-cide","[Singleton]","1","1","0","0","0","0","0","0","1","0","0","0","0","0"
"dpdf-twelvemonkeys","[Visitor]","1","1","0","0","0","0","0","0","0","0","0","0","0","1"
"dpdf-promasi-v2","[Memento]","1","14","0","0","0","0","0","0","0","0","14","0","0","0"
"dpdf-sablecc","[Prototype]","1","3","0","0","0","0","0","0","0","0","0","3","0","0"
"dpdf-jbehave-core","[Builder] [Factory Method] [Abstract Factory] [Decorator] [Observer] [Facade] [Singleton]","7","39","11","0","14","3","6","2","1","2","0","0","0","0"
"dpdf-eclipsejdtui","[Memento]","1","1","0","0","0","0","0","0","0","0","1","0","0","0"
"dpdf-sshj","[Singleton]","1","1","0","0","0","0","0","0","1","0","0","0","0","0"
"dpdf-limewire-pirate-edition","[Memento] [Singleton]","2","13","0","0","0","0","0","0","1","0","12","0","0","0"
"dpdf-comidegacore","[Singleton]","1","1","0","0","0","0","0","0","1","0","0","0","0","0"
"dpdf-downloadprovider","[Adapter] [Facade]","2","5","0","3","0","2","0","0","0","0","0","0","0","0"
"dpdf-osate2-core","[Prototype]","1","31","0","0","0","0","0","0","0","0","0","31","0","0"
"dpdf-jagtrack","[Prototype]","1","1","0","0","0","0","0","0","0","0","0","1","0","0"
"dpdf-jackrabbit","[Observer] [Singleton]","2","2","0","0","0","0","0","1","1","0","0","0","0","0"
"dpdf-mobile-tour-guide","[Adapter]","1","1","0","1","0","0","0","0","0","0","0","0","0","0"
"dpdf-swp1-teamhub","[Facade]","1","6","0","0","0","6","0","0","0","0","0","0","0","0"
"dpdf-lcmc","[Prototype]","1","1","0","0","0","0","0","0","0","0","0","1","0","0"
"dpdf-spring-migration-analyzer","[Visitor]","1","11","0","0","0","0","0","0","0","0","0","0","0","11"
"dpdf-geotoolkit-pending","[Builder] [Proxy] [Singleton]","3","3","0","0","1","0","0","0","1","0","0","0","1","0"
"dpdf-oneswarm","[Prototype] [Observer]","2","4","0","0","0","0","0","1","0","0","0","3","0","0"
"dpdf-ecf","[Factory Method] [Proxy]","2","5","0","0","0","0","3","0","0","0","0","0","2","0"
"dpdf-alfresco","[Singleton]","1","1","0","0","0","0","0","0","1","0","0","0","0","0"
"dpdf-spring-stringtemplate","[Decorator]","1","1","0","0","0","0","0","0","0","1","0","0","0","0"
"dpdf-ju4pa","[Observer]","1","1","0","0","0","0","0","1","0","0","0","0","0","0"
"dpdf-sample-projects","[Visitor]","1","1","0","0","0","0","0","0","0","0","0","0","0","1"
"dpdf-jamendo-android","[Builder]","1","11","0","0","11","0","0","0","0","0","0","0","0","0"
"dpdf-smsc-server","[Factory Method] [Observer]","2","6","0","0","0","0","4","2","0","0","0","0","0","0"
"dpdf-aseme","[Abstract Factory]","1","10","10","0","0","0","0","0","0","0","0","0","0","0"
"dpdf-akka-javaee6-integracia","[Singleton]","1","1","0","0","0","0","0","0","1","0","0","0","0","0"
"dpdf-rtequinoxp2","[Memento]","1","1","0","0","0","0","0","0","0","0","1","0","0","0"
"dpdf-spring-batch","[Adapter]","1","2","0","2","0","0","0","0","0","0","0","0","0","0"
"dpdf-java-design-patterns","[Factory Method]","1","1","0","0","0","0","1","0","0","0","0","0","0","0"
"dpdf-hazelcast-cluster-monitor","[Builder]","1","2","0","0","2","0","0","0","0","0","0","0","0","0"
"dpdf-javassist","[Factory Method] [Proxy]","2","4","0","0","0","0","2","0","0","0","0","0","2","0"
"dpdf-wolips","[Prototype]","1","2","0","0","0","0","0","0","0","0","0","2","0","0"
"dpdf-softwaremill-common","[Observer]","1","1","0","0","0","0","0","1","0","0","0","0","0","0"
"dpdf-freemind","[Decorator]","1","3","0","0","0","0","0","0","0","3","0","0","0","0"
"dpdf-cytoscape-plugins","[Singleton]","1","1","0","0","0","0","0","0","1","0","0","0","0","0"
"dpdf-xobotos","[Singleton]","1","1","0","0","0","0","0","0","1","0","0","0","0","0"
"dpdf-lyorio","[Singleton]","1","1","0","0","0","0","0","0","1","0","0","0","0","0"
"dpdf-m2eclipse-extras","[Facade]","1","2","0","0","0","2","0","0","0","0","0","0","0","0"
"dpdf-brightroom","[Observer]","1","1","0","0","0","0","0","1","0","0","0","0","0","0"
"dpdf-buildcraft","[Proxy]","1","12","0","0","0","0","0","0","0","0","0","0","12","0"
"dpdf-po-mindstorms","[Facade]","1","1","0","0","0","1","0","0","0","0","0","0","0","0"
"dpdf-biojava-legacy","[Builder] [Factory Method] [Memento]","3","7","0","0","4","0","2","0","0","0","1","0","0","0"
"dpdf-pcgen-svn","[Adapter] [Builder] [Factory Method] [Decorator] [Observer] [Facade]","6","57","0","3","5","40","4","3","0","2","0","0","0","0"
"dpdf-alice","[Prototype]","1","5","0","0","0","0","0","0","0","0","0","5","0","0"
"dpdf-comhappyprogtdgotchi","[Observer]","1","2","0","0","0","0","0","2","0","0","0","0","0","0"
"dpdf-ant","[Adapter] [Factory Method] [Decorator] [Observer]","4","10","0","7","0","0","1","1","0","1","0","0","0","0"
"dpdf-frostwire-desktop","[Decorator] [Proxy] [Observer]","3","15","0","0","0","0","0","3","0","1","0","0","11","0"
"dpdf-chensun","[Adapter] [Proxy]","2","4","0","2","0","0","0","0","0","0","0","0","2","0"
"dpdf-get-another-label","[Decorator]","1","4","0","0","0","0","0","0","0","4","0","0","0","0"
"dpdf-platform_frameworks_base","[Adapter] [Observer] [Singleton]","3","3","0","1","0","0","0","1","1","0","0","0","0","0"
"dpdf-udig-platform","[Memento]","1","1","0","0","0","0","0","0","0","0","1","0","0","0"
"dpdf-jboss-aejb","[Singleton]","1","1","0","0","0","0","0","0","1","0","0","0","0","0"
"dpdf-cream","[Observer]","1","1","0","0","0","0","0","1","0","0","0","0","0","0"
"dpdf-hms","[Memento]","1","1","0","0","0","0","0","0","0","0","1","0","0","0"
"dpdf-wayback","[Factory Method] [Memento] [Decorator] [Proxy] [Visitor]","5","10","0","0","0","0","3","0","0","2","1","0","2","2"
"dpdf-whartoneventscheduler","[Adapter]","1","2","0","2","0","0","0","0","0","0","0","0","0","0"
"dpdf-fafdtibb","[Builder] [Factory Method]","2","6","0","0","5","0","1","0","0","0","0","0","0","0"
"dpdf-birt","[Memento]","1","3","0","0","0","0","0","0","0","0","3","0","0","0"
"dpdf-arquillian-extension-persistence","[Observer]","1","1","0","0","0","0","0","1","0","0","0","0","0","0"
"dpdf-pmd","[Facade]","1","1","0","0","0","1","0","0","0","0","0","0","0","0"
"dpdf-basiclti-portlet","[Adapter] [Factory Method]","2","10","0","9","0","0","1","0","0","0","0","0","0","0"
"dpdf-infinitest","[Facade]","1","3","0","0","0","3","0","0","0","0","0","0","0","0"
"dpdf-prevayler","[Memento]","1","3","0","0","0","0","0","0","0","0","3","0","0","0"
"dpdf-smartbiprototype","[Prototype]","1","1","0","0","0","0","0","0","0","0","0","1","0","0"
"dpdf-modapi","[Prototype]","1","1","0","0","0","0","0","0","0","0","0","1","0","0"
"dpdf-social_1","[Prototype]","1","1","0","0","0","0","0","0","0","0","0","1","0","0"
"dpdf-activemq","[Facade] [Singleton]","2","12","0","0","0","11","0","0","1","0","0","0","0","0"
"dpdf-xdi2","[Prototype]","1","1","0","0","0","0","0","0","0","0","0","1","0","0"
"dpdf-api","[Factory Method] [Singleton]","2","6","0","0","0","0","2","0","4","0","0","0","0","0"
"dpdf-cayenne","[Factory Method] [Abstract Factory] [Singleton]","3","5","2","0","0","0","2","0","1","0","0","0","0","0"
"dpdf-ccw","[Adapter] [Builder] [Factory Method] [Visitor] [Facade]","5","6","0","1","2","1","1","0","0","0","0","0","0","1"
"dpdf-small-team-km-android-client","[Singleton]","1","2","0","0","0","0","0","0","2","0","0","0","0","0"
"dpdf-accent","[Adapter] [Proxy]","2","2","0","1","0","0","0","0","0","0","0","0","1","0"
"dpdf-kahlua2","[Prototype]","1","1","0","0","0","0","0","0","0","0","0","1","0","0"
"dpdf-emfcompare","[Builder] [Factory Method]","2","2","0","0","1","0","1","0","0","0","0","0","0","0"
"dpdf-rap","[Memento]","1","4","0","0","0","0","0","0","0","0","4","0","0","0"
"dpdf-mongkie","[Builder] [Decorator]","2","6","0","0","1","0","0","0","0","5","0","0","0","0"
"dpdf-playorm","[Proxy] [Singleton]","2","8","0","0","0","0","0","0","1","0","0","0","7","0"
"dpdf-cdo","[Adapter] [Builder] [Proxy] [Visitor]","4","20","0","13","1","0","0","0","0","0","0","0","3","3"
"dpdf-3taps-java-client","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"dpdf-dimsim","[Abstract Factory] [Proxy]","2","10","5","0","0","0","0","0","0","0","0","0","5","0"
"dpdf-cdk","[Adapter] [Builder] [Visitor]","3","26","0","15","3","0","0","0","0","0","0","0","0","8"
"dpdf-ipage","[Factory Method]","1","1","0","0","0","0","1","0","0","0","0","0","0","0"
"dpdf-dawn-third","[Memento]","1","4","0","0","0","0","0","0","0","0","4","0","0","0"
"dpdf-eclipseplatformui","[Memento]","1","4","0","0","0","0","0","0","0","0","4","0","0","0"
