Pattern,Accuracy,Precision,Recall,F1-Score,ROC AUC,PR AUC
All,0.752,0.786,0.615,0.554,0.793,0.526
Builder,0.936,0.937,0.892,0.903,0.936,0.588
Observer,0.9,0.97,0.969,0.968,0.9,0.831
Adapter,0.5,0.846,0.846,0.776,0.5,0.154
Singleton,0.833,0.97,0.969,0.966,0.833,0.697
Factory Method,0.892,0.969,0.969,0.969,0.892,0.655
Memento,0.982,0.975,0.969,0.971,0.982,0.8
Proxy,0.992,0.992,0.985,0.987,0.992,0.5
Decorator,0.992,0.988,0.985,0.986,0.992,0.75
Facade,0.977,0.988,0.954,0.967,0.977,0.25
Visitor,0.922,0.986,0.846,0.904,0.922,0.091
