Pattern,Accuracy,Precision,Recall,F1-Score,ROC AUC,PR AUC
All,0.772,0.825,0.667,0.613,0.823,0.583
Builder,0.946,0.945,0.907,0.916,0.946,0.588
Observer,0.9,0.974,0.973,0.972,0.9,0.827
Adapter,0.5,0.867,0.867,0.805,0.5,0.133
Singleton,0.833,0.974,0.973,0.971,0.833,0.693
Prototype,1.0,1.0,1.0,1.0,1.0,1.0
Factory Method,0.893,0.973,0.973,0.973,0.893,0.653
Memento,0.985,0.979,0.973,0.975,0.985,0.8
Proxy,0.993,0.993,0.987,0.989,0.993,0.5
Decorator,0.993,0.99,0.987,0.988,0.993,0.75
Facade,0.98,0.99,0.96,0.972,0.98,0.25
Visitor,0.932,0.988,0.867,0.917,0.932,0.091
