Wall time,Step,Value
1735548345.926906,0,0.9730960130691528
1735549000.740454,1,0.9980340003967285
1735549668.754843,2,0.9890069961547852
1735550356.674268,3,0.9879080057144165
1735551077.419103,4,0.988215982913971
1735552065.078243,5,0.9798139929771423
1735553385.532198,6,0.9882799983024597
1735554919.658879,7,0.988910973072052
1735556471.360378,8,0.9904080033302307
1735558001.8310661,9,0.9907780289649963
1735559552.081505,10,0.9917899966239929
1735561100.881954,11,0.9920420050621033
1735562623.358025,12,0.9923530220985413
1735564209.484135,13,0.9921950101852417
