Wall time,Step,Value
1735548345.926896,0,0.9981111884117126
1735549000.740444,1,0.9997273683547974
1735549668.754835,2,0.9972297549247742
1735550356.674258,3,0.9967666268348694
1735551077.419093,4,0.9971224069595337
1735552065.0782342,5,0.9953616857528687
1735553385.532189,6,0.9975548982620239
1735554919.658869,7,0.9976118206977844
1735556471.360368,8,0.997869074344635
1735558001.8310559,9,0.9980215430259705
1735559552.081493,10,0.9981935620307922
1735561100.881946,11,0.998285174369812
1735562623.358015,12,0.9983425140380859
1735564209.484125,13,0.9982796907424927
